APPLY migrate-images-to-r2  lang=ja era=- set=- limit=∞ conc=8 thumbW=245
  대상 카드(외부 large 보유): 13071
⚠ [migrate-images-to-r2] --allow-protected: 동결 카드팩 수정 허용됨 — sm-decks, mega-dream-ex, og-smp, sv-destined-rivals, sv-paldean-fates, sv-shrouded-fable, sv-surging-sparks, sv-triplet-beat, sv-twilight-masquerade, og-jp-mega-promo, mega-goods, mega-decks, mega-start-deck-100, og-s11, og-sm1+, og-sm10, og-sm10b, og-sm11a, og-sm11b, og-sm12, og-sm12a, og-sm1m, og-sm1s, og-sm2+, og-sm2k, og-sm2l, og-sm3+, og-sm3h, og-sm3n, og-sm4+, og-sm4a, og-sm4s, og-sm5+, og-sm5m, og-sm5s, og-sm6, og-sm6a, og-sm6b, og-sm7, og-sm7a, og-sm7b, og-sm8, og-sm8b, og-sm9, og-sm9a, og-sm9b, og-sn10a, og-sn11, sv-black-bolt-white-flare, sv-white-flare, sv-temporal-forces, sv-cyber-judge, sv-decks, sv-goods, sv-ex-start-deck, sv-start-deck-generations
  충돌분리(regionCardId) 적용 카드: 0
  [100/13071] dl=100 resume=0 fail=0 13.2MB
  [200/13071] dl=200 resume=0 fail=0 26.5MB
  [300/13071] dl=300 resume=0 fail=0 33.1MB
  [400/13071] dl=400 resume=0 fail=0 42.7MB
  [500/13071] dl=500 resume=0 fail=0 53.3MB
  [600/13071] dl=600 resume=0 fail=0 72.6MB
  [700/13071] dl=700 resume=0 fail=0 104.0MB
  [800/13071] dl=800 resume=0 fail=0 179.4MB
  [900/13071] dl=900 resume=0 fail=0 301.2MB
  [1000/13071] dl=1000 resume=0 fail=0 321.6MB
  [1100/13071] dl=1100 resume=0 fail=0 351.5MB
  [1200/13071] dl=1200 resume=0 fail=0 396.4MB
  [1300/13071] dl=1300 resume=0 fail=0 409.7MB
  [1400/13071] dl=1400 resume=0 fail=0 423.5MB
  [1500/13071] dl=1500 resume=0 fail=0 436.3MB
  [1600/13071] dl=1600 resume=0 fail=0 452.7MB
  [1700/13071] dl=1701 resume=0 fail=0 494.0MB
  [1800/13071] dl=1800 resume=0 fail=0 515.2MB
  [1900/13071] dl=1900 resume=0 fail=0 527.9MB
  [2000/13071] dl=2000 resume=0 fail=0 542.8MB
  [2100/13071] dl=2100 resume=0 fail=0 566.5MB
  [2200/13071] dl=2200 resume=0 fail=0 648.6MB
  [2300/13071] dl=2300 resume=0 fail=0 751.8MB
  [2400/13071] dl=2401 resume=0 fail=0 833.6MB
  [2500/13071] dl=2500 resume=0 fail=0 848.5MB
  [2600/13071] dl=2600 resume=0 fail=0 945.1MB
  [2700/13071] dl=2700 resume=0 fail=0 1085.4MB
  [2800/13071] dl=2800 resume=0 fail=0 1218.4MB
  [2900/13071] dl=2900 resume=0 fail=0 1261.6MB
  [3000/13071] dl=3000 resume=0 fail=0 1280.1MB
  [3100/13071] dl=3100 resume=0 fail=0 1297.4MB
  [3200/13071] dl=3200 resume=0 fail=0 1314.5MB
  [3300/13071] dl=3301 resume=0 fail=0 1336.3MB
  [3400/13071] dl=3400 resume=0 fail=0 1357.4MB
  [3500/13071] dl=3500 resume=0 fail=0 1377.7MB
  [3600/13071] dl=3600 resume=0 fail=0 1400.8MB
  [3700/13071] dl=3701 resume=0 fail=0 1423.7MB
  [3800/13071] dl=3800 resume=0 fail=0 1449.2MB
  [3900/13071] dl=3900 resume=0 fail=0 1461.2MB
  [4000/13071] dl=4000 resume=0 fail=0 1481.7MB
  [4100/13071] dl=4100 resume=0 fail=0 1503.2MB
  [4200/13071] dl=4200 resume=0 fail=0 1522.6MB
  [4300/13071] dl=4300 resume=0 fail=0 1538.8MB
  [4400/13071] dl=4400 resume=0 fail=0 1540.4MB
  [4500/13071] dl=4500 resume=0 fail=0 1541.9MB
  [4600/13071] dl=4600 resume=0 fail=0 1543.4MB
  [4700/13071] dl=4700 resume=0 fail=0 1547.6MB
  [4800/13071] dl=4800 resume=0 fail=0 1552.4MB
  [4900/13071] dl=4900 resume=0 fail=0 1555.4MB
  [5000/13071] dl=5001 resume=0 fail=0 1557.9MB
  [5100/13071] dl=5100 resume=0 fail=0 1560.1MB
  [5200/13071] dl=5200 resume=0 fail=0 1562.9MB
  [5300/13071] dl=5300 resume=0 fail=0 1573.7MB
  [5400/13071] dl=5400 resume=0 fail=0 1590.2MB
  [5500/13071] dl=5500 resume=0 fail=0 1605.9MB
  [5600/13071] dl=5600 resume=0 fail=0 1624.8MB
  [5700/13071] dl=5700 resume=0 fail=0 1643.5MB
  [5800/13071] dl=5800 resume=0 fail=0 1676.6MB
  [5900/13071] dl=5900 resume=0 fail=0 1730.6MB
  [6000/13071] dl=6000 resume=0 fail=0 1762.1MB
  [6100/13071] dl=6100 resume=0 fail=0 1775.6MB
  [6200/13071] dl=6200 resume=0 fail=0 1788.4MB
  [6300/13071] dl=6300 resume=0 fail=0 1800.9MB
  [6400/13071] dl=6400 resume=0 fail=0 1814.8MB
  [6500/13071] dl=6500 resume=0 fail=0 1826.6MB
  [6600/13071] dl=6600 resume=0 fail=0 1837.2MB
  [6700/13071] dl=6700 resume=0 fail=0 1852.7MB
  [6800/13071] dl=6800 resume=0 fail=0 1865.9MB
  [6900/13071] dl=6900 resume=0 fail=0 1868.6MB
  [7000/13071] dl=7000 resume=0 fail=0 1871.3MB
  [7100/13071] dl=7100 resume=0 fail=0 1875.1MB
  [7200/13071] dl=7200 resume=0 fail=0 1881.4MB
  [7300/13071] dl=7300 resume=0 fail=0 1896.1MB
  [7400/13071] dl=7400 resume=0 fail=0 1917.0MB
  [7500/13071] dl=7500 resume=0 fail=0 1937.2MB
  [7600/13071] dl=7600 resume=0 fail=0 1950.2MB
  [7700/13071] dl=7700 resume=0 fail=0 1965.5MB
  [7800/13071] dl=7800 resume=0 fail=0 1979.7MB
  [7900/13071] dl=7900 resume=0 fail=0 1995.3MB
  [8000/13071] dl=8000 resume=0 fail=0 2012.5MB
  [8100/13071] dl=8100 resume=0 fail=0 2081.3MB
  [8200/13071] dl=8200 resume=0 fail=0 2090.4MB
  [8300/13071] dl=8300 resume=0 fail=0 2111.3MB
  [8400/13071] dl=8400 resume=0 fail=0 2127.0MB
  [8500/13071] dl=8500 resume=0 fail=0 2142.6MB
  [8600/13071] dl=8600 resume=0 fail=0 2163.3MB
