APPLY migrate-images-to-r2  lang=ko era=- set=- limit=∞ conc=6 thumbW=245
  대상 카드(외부 large 보유): 17594
⚠ [migrate-images-to-r2] --allow-protected: 동결 카드팩 수정 허용됨 — mega-brave-symphonia, mega-symphonia, mega-infernox, mega-dream-ex, mega-munikisuzero, mega-ninja-spinner, mega-goods, mega-decks, mega-start-deck-100, og-s10d, og-s10a, og-s10b, og-s10p, og-s11, og-s11a, og-s12, og-s12a, og-s9, og-s9a, og-sm1+, og-sm10, og-sn10a, og-sm10b, og-sn11, og-sm11a, og-sm11b, og-sm12, og-sm12a, og-sm1m, og-sm1s, og-sm2+, og-sm2k, og-sm2l, og-sm3+, sm-decks, og-sm3h, og-sm3n, og-sm4+, og-sm4a, og-sm4s, og-sm5+, og-sm5m, og-sm5s, og-sm6, og-sm6a, og-sm6b, og-sm7, og-sm7a, og-sm7b, og-sm8, og-sm8a, og-sm8b, og-sm9, og-sm9a, og-sm9b, og-smp2, sv-151, sv-destined-rivals, sv-black-bolt-white-flare, sv-white-flare, sv-triplet-beat, sv-paldea-evolved, sv-snow-hazard, sv-obsidian-flames, sv-raging-surf, sv-paldean-fates, sv-paradox-rift, sv-future-flash, sv-crimson-haze, sv-temporal-forces, sv-cyber-judge, sv-twilight-masquerade, sv-shrouded-fable, sv-stellar-crown, sv-paradise-dragona, sv-surging-sparks, sv-prismatic-evolutions, sv-journey-together, sv-heatwave-arena, sv-decks, sv-goods, sv-ex-start-deck, sv-start-deck-generations
  충돌분리(regionCardId) 적용 카드: 82
  [100/17594] dl=100 resume=0 fail=0 6.2MB
  [200/17594] dl=200 resume=0 fail=0 13.9MB
  [300/17594] dl=300 resume=0 fail=0 22.3MB
  [400/17594] dl=400 resume=0 fail=0 31.2MB
  [500/17594] dl=500 resume=0 fail=0 40.4MB
  [600/17594] dl=600 resume=0 fail=0 49.0MB
  [700/17594] dl=700 resume=0 fail=0 57.1MB
  [800/17594] dl=800 resume=0 fail=0 63.2MB
  [900/17594] dl=900 resume=0 fail=0 71.5MB
  [1000/17594] dl=1000 resume=0 fail=0 80.8MB
  [1100/17594] dl=1100 resume=0 fail=0 90.2MB
  [1200/17594] dl=1200 resume=0 fail=0 99.4MB
  [1300/17594] dl=1301 resume=0 fail=0 108.8MB
  [1400/17594] dl=1400 resume=0 fail=0 118.6MB
  [1500/17594] dl=1500 resume=0 fail=0 130.3MB
  [1600/17594] dl=1600 resume=0 fail=0 139.9MB
  [1700/17594] dl=1700 resume=0 fail=0 148.1MB
  [1800/17594] dl=1800 resume=0 fail=0 155.6MB
  [1900/17594] dl=1900 resume=0 fail=0 163.2MB
  [2000/17594] dl=1999 resume=0 fail=1 169.2MB
